id,title,main_artist,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
4Mv3zF81bIiF47h3oQslXX,Mantra,Fakear,0.629,0.668,2,-8.085,0,0.117,0.81,0.106,0.388,192.022,326131,4
3dsDLH78l5O1dwvfq1Ip3u,Many Many,NGS,0.833,0.263,6,-14.86,0,0.28,0.802,0.155,0.743,112.976,92000,4
5cZbwYCOSHiH7qMrfi92v8,Marcos Valle,Flamingosis,0.859,0.408,1,-11.414,1,0.0774,0.13,0.341,0.933,93.022,190968,4
5WB0mgQhlXV3wrb4RXwYy0,Maria,Time for T,0.653,0.573,8,-7.294,1,0.619,1.44e-05,0.253,0.512,128.655,263693,4
66MpvsWO5O7gy9LjXGFw6I,Maria También,Khruangbin,0.748,0.63,6,-7.318,0,0.00261,0.859,0.532,0.846,103.597,190999,4
4zCrOO8OAjpnmekfIxzTsl,Marinade,DOPE LEMON,0.677,0.74,2,-6.528,1,0.242,0.0146,0.105,0.679,110.193,237961,4
6OG05bPAwUuV3OMvy2Vy1P,Mariners Apartment Complex,Lana Del Rey,0.545,0.26,9,-12.668,1,0.788,0.00099,0.105,0.185,75.962,247150,4
7bcsnVCS4rCicgaLGlO371,Marion,Bon Iver,0.323,0.068,3,-13.149,1,0.935,7.19e-05,0.108,0.238,96.771,141667,4
6eICehJWzcEk2880W6Apif,Marion,Bon Iver,0.297,0.0682,3,-13.147,1,0.938,3.04e-05,0.108,0.235,79.694,141667,3
4KfMAEAOklG7rwqWNTMTUv,Mars For The Rich,King Gizzard & The Lizard Wizard,0.377,0.885,11,-5.921,0,0.0278,0.781,0.132,0.345,101.394,251720,1
6pMEHSlxy2dBWQOEUpmAaQ,Marta,Ornatos Violeta,0.631,0.251,9,-10.745,1,0.881,6.95e-06,0.321,0.253,113.663,87507,4
3ehsoSi7UvH6c79eX6WQke,Martin,Car Seat Headrest,0.649,0.743,4,-9.204,1,0.0139,0.0359,0.534,0.548,160.152,207750,4
2kGJ8Wfuq3lwIx00Sf5p3M,Mary,Time for T,0.44,0.53,7,-9.74,1,0.197,0.0158,0.0596,0.536,95.007,247307,4
2WTxIQ0ufU7AxT43ZKpllY,Masterpiece,Big Thief,0.419,0.704,4,-7.819,1,0.00107,3.04e-05,0.161,0.401,72.044,230586,4
4qx6KUiBAsuZB9ubcreapu,Matilda,alt-J,0.581,0.675,2,-9.208,1,0.787,0.4,0.116,0.276,147.982,228707,4
7JfYumPQdv4bq2LecwKcGz,Me Cuesta Tanto Olvidarte,El Combo Viramundo,0.664,0.66,2,-6.188,0,0.593,0.00331,0.184,0.909,121.146,279256,4
17dS7mrtNwH05RFjgMjLFi,Medo Bobo,Rubel,0.484,0.276,8,-12.028,0,0.615,0.0538,0.11,0.439,119.861,198059,5
