id,title,main_artist,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Like,key_object
5N3WuheaRYymNYs9zE4aKE,Sintoniza,Benjamim,0.5589999999999999,0.9420000000000001,5,-8.371,1,0.0249,0.314,0.6709999999999999,0.772,180.03099999999998,309261,4,1,F
4ATTsPeg04rs0sbNrJQKC9,O Quinito Foi para a Guiné,Benjamim,0.635,0.379,11,-9.306000000000001,1,0.441,0.0031899999999999997,0.114,0.509,110.12200000000001,222652,3,1,B
2cgHbND6w1n2IwD49Fkdsc,O Sangue,Benjamim,0.705,0.251,0,-14.520999999999999,1,0.9390000000000001,1.48e-06,0.11,0.52,105.986,98979,4,1,C
6I92KP1cileNLuMtNtZJ1L,Meteorologia,Benjamim,0.535,0.47200000000000003,7,-12.647,0,0.802,0.507,0.574,0.58,145.953,86501,4,1,G
7hsZqujDj7XllwcBeOBJw2,Volkswagen,Benjamim,0.7959999999999999,0.401,2,-10.895,1,0.841,0.00479,0.1,0.622,110.289,272548,4,1,D
4FlK6zdvr5sV1WC69zrHXu,Rosie,Benjamim,0.6829999999999999,0.523,7,-10.23,1,0.897,0.0,0.8390000000000001,0.565,84.50299999999999,164360,4,1,G
4DEAif3s806vjCBJIgIg2i,Do Céu e da Terra,Benjamim,0.537,0.40399999999999997,2,-10.648,1,0.685,0.00122,0.155,0.7759999999999999,151.989,263250,4,1,D
4HzPhi3bO5xqkIcYd2JSzt,Auto Rádio,Benjamim,0.585,0.914,4,-7.216,0,0.213,0.0215,0.0441,0.7959999999999999,134.02,388551,4,1,E
3tMgbrCOxhtUcEpVfWrACH,O Exílio,Benjamim,0.606,0.271,7,-12.959000000000001,1,0.8909999999999999,0.000625,0.10300000000000001,0.264,101.988,241058,3,1,G
7l4i6ZurXrUmi4f6nokh6B,Vias de Extinção,Benjamim,0.557,0.629,0,-6.297999999999999,1,0.0246,0.0059299999999999995,0.27899999999999997,0.21100000000000002,148.015,343997,4,1,C
1tzPvghMVhPUlVCUtpjaWm,Areia,Men On The Couch,0.79,0.128,6,-16.266,1,0.78,3.63e-05,0.10400000000000001,0.221,122.803,285167,3,1,F♯
2hQzCXo7p6YL73zpcNy6qv,Photosynthesis,Korantemaa,0.6709999999999999,0.125,5,-14.245999999999999,0,0.9,0.0,0.0989,0.504,81.118,202106,4,1,F
0c3FONMPtfvTJgMXe04Nj2,Incompreensível,Ana Muller,0.5529999999999999,0.366,4,-10.206,0,0.209,0.000926,0.29100000000000004,0.217,127.814,247013,4,1,E
