id,title,main_artist,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Year
2eqEn2dpA71pANlTJ0EZbC,Fatalidade,António Zambujo,0.598,0.549,7,-7.379,1,0.726,0.000858,0.217,0.564,96.047,168444,4,2016
2ZNowcE7ehJYEkChoRjSx0,Life Of The Party,Shawn Mendes,0.667,0.614,10,-4.995,1,0.0663,0.0,0.111,0.161,113.979,214533,4,2016
1WP1r7fuvRqZRnUaTi2I1Q,Stitches,Shawn Mendes,0.746,0.754,1,-6.681,1,0.0152,0.0,0.0486,0.764,149.882,206880,4,2016
1NyFRrFiJAJIaR6icj1goI,Skinny Love,Bon Iver,0.592,0.256,4,-14.031,0,0.842,2.38e-06,0.088,0.103,76.361,238533,4,2016
5rb9QrpfcKFHM1EUbSIurX,Yeah! (feat. Lil Jon & Ludacris),Ludacris,0.894,0.791,2,-4.699,1,0.0183,0.0,0.0388,0.583,105.018,250373,4,2016
1f3yAtsJtY87CTmM8RLnxf,Smells Like Teen Spirit,Nirvana,0.502,0.912,1,-4.556,1,2.55e-05,0.000173,0.106,0.72,116.761,301920,4,2016
06DaCxeg3IUMcxDkKEyQKf,A Little Too Much,Shawn Mendes,0.553,0.507,11,-6.24,1,0.473,0.0,0.108,0.57,83.093,187027,4,2016
4e8KvQ6kLYr4ZnmZyNLwJO,Taro,alt-J,0.357,0.482,5,-10.627,1,0.776,0.00417,0.0829,0.283,171.697,305107,4,2016
74cjmx8wpmhek5qXpSSFCL,Valsa De Um Pavão Ciumento,António Zambujo,0.583,0.355,9,-7.446,1,0.824,0.00524,0.0917,0.341,102.726,179291,3,2016
1Je1IMUlBXcx1Fz0WE7oPT,Wannabe,Spice Girls,0.768,0.864,11,-6.145,1,0.101,0.0,0.162,0.891,110.008,173027,4,2016
1vcxF91pWs9uNwDROuiCPB,Savior,Rise Against,0.554,0.932,5,-3.424,0,0.00154,0.000142,0.425,0.478,112.49,242280,4,2016
4rc9kQ6qyssElIccFJgbJb,My Name Is,Eminem,0.882,0.678,1,-6.165,1,0.0427,0.0,0.118,0.809,85.491,268853,4,2016
57bgtoPSgt236HzfBOd8kj,Thunderstruck,AC/DC,0.501,0.889,4,-5.175,1,0.000147,0.0114,0.217,0.257,133.519,292880,4,2016
63MgFVcIldlw51imFtcgK1,El Perdón,Enrique Iglesias,0.622,0.701,8,-5.452,1,0.423,0.0,0.0955,0.645,179.998,207013,4,2016
44T13PWJ87jb3lFElhVIHx,Growing Up (feat. Ed Sheeran),Ed Sheeran,0.74,0.549,9,-7.072,1,0.178,0.0,0.114,0.469,85.16,305240,4,2016
6nLvaCZFR1wEzW3sIKpsnr,"Valerie - Live At BBC Radio 1 Live Lounge, London / 2007",Amy Winehouse,0.772,0.371,5,-5.743,0,0.744,0.0,0.167,0.684,96.574,233733,4,2016
60bBoLe9ocxO3zrb0mRO4k,The Trouble With Us,Nick Murphy,0.831,0.715,2,-5.792,1,0.334,0.000881,0.16,0.834,121.08,222067,4,2016
5XJJdNPkwmbUwE79gv0NxK,Gold Digger,Jamie Foxx,0.646,0.696,1,-5.572,0,0.0192,0.0,0.0762,0.625,92.88,207401,4,2016
2jTidefcsTu6VQhpIImJrt,All I Want,Kodaline,0.209,0.412,0,-9.733,1,0.172,0.15,0.0843,0.162,86.26,305747,3,2016
