id,title,main_artist,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1ABtBe4TZNjQKGgRAgRUIN,Raleighwood Hills,Jaxson Free,0.87,0.45,8,-9.746,1,0.721,0.000244,0.0984,0.405,132.023,222241,4
3j84U36KvLeXNDPv4t5pI8,Pure Water (with Migos),Migos,0.682,0.559,0,-5.545,1,0.174,0.0,0.344,0.137,202.015,192471,4
1tNJrcVe6gwLEiZCtprs1u,3 Nights,Dominic Fike,0.815,0.518,7,-6.594,0,0.223,0.0,0.104,0.877,151.891,177667,4
3dnhbFi2XbgsZi415v5UEv,The Fact of Love,Joe Henry,0.4,0.247,0,-10.513,1,0.855,0.000737,0.11,0.0878,143.189,270652,4
2VqKx3HH8gaZPabNWYvksy,I Want You Around,Snoh Aalegra,0.705,0.433,4,-9.706,1,0.388,0.134,0.0841,0.602,168.006,212787,4
5z51HY4ei5QhTjcvwq5Msw,On Chill (feat. Jeremih),Jeremih,0.597,0.733,1,-6.017,1,0.134,0.0,0.159,0.639,171.016,214035,4
62GXGpd73vslqIBHq8XqOx,APESHIT,The Carters,0.706,0.785,2,-6.475,1,0.0131,0.0,0.164,0.377,160.033,264853,4
7FxzgizJRGTQ3fxUqfvljg,Bad Bad News,Leon Bridges,0.781,0.629,5,-6.152,0,0.229,0.000536,0.0881,0.693,111.975,207307,4
6lzLjIOyWTyTJvk0jraYee,Could've Been (feat. Bryson Tiller),Bryson Tiller,0.545,0.33,1,-11.719,0,0.64,7e-06,0.22,0.399,103.553,248467,4
61Ivix5DTnDPVjp1dgLyov,Disco Yes,Poppy Ajudha,0.927,0.551,9,-6.624,0,0.42,0.0346,0.298,0.665,123.042,280878,4
5RnzHoIXGjP3l4Kz683c8l,Ekombe,Jupiter & Okwess,0.573,0.819,4,-8.171,0,0.00276,6.87e-06,0.079,0.772,154.266,247499,4
0hoRmVUp5cZ1empu0nSHU8,Every Time I Hear That Song,Brandi Carlile,0.577,0.53,7,-6.749,1,0.544,3.29e-06,0.103,0.22,85.471,241147,4
2lyEpuvVOnNGzV5c89Vnpf,Girl Goin' Nowhere,Ashley McBryde,0.591,0.157,11,-12.924,1,0.574,5.32e-05,0.122,0.146,82.412,207067,4
5D3QuGmdDWtCvMcpVA3l9i,Historia De Un Amor,Tali Rubinstein,0.411,0.151,4,-14.158,0,0.856,0.000228,0.0994,0.147,83.106,221727,4
58q2HKrzhC3ozto2nDdN4z,I Like It,J Balvin,0.816,0.726,5,-3.998,0,0.099,0.0,0.372,0.65,136.048,253390,4
6tZ3b7ik1QDXFAZlXib0YZ,Kevin’s Heart,J. Cole,0.829,0.527,6,-6.644,0,0.482,0.0,0.631,0.475,116.079,200310,4
6QYYVuvynDJctOwwUTLfhX,King For A Day,Anderson East,0.401,0.713,8,-5.982,1,0.0325,0.00069,0.102,0.725,143.106,224187,4
45Egmo7icyopuzJN0oMEdk,Love Lies (with Normani),Normani,0.708,0.648,6,-5.626,1,0.0956,0.0,0.134,0.338,143.955,201707,4
5gW5dSy3vXJxgzma4rQuzH,Make Me Feel,Janelle Monáe,0.859,0.413,1,-7.399,1,0.132,0.0,0.334,0.697,115.035,194230,4
3MyoPEPdJbaIKRyuk8zTj2,Mary Don't You Weep - Piano & A Microphone 1983 Version,Prince,0.471,0.265,10,-10.24,1,0.92,0.00284,0.177,0.325,80.383,282384,4
2ySRRtrAwDUF4FipiF1Djt,My Own Thing,Joey Purp,0.879,0.457,0,-6.332,1,0.105,0.0,0.12,0.658,139.974,181159,4
38O0SN9P3sC0UFLsgLqLju,Need A Little Time,Courtney Barnett,0.539,0.642,0,-5.726,1,0.0164,0.00319,0.131,0.273,101.957,238253,4
7wR5r0KYGXBpyWXCdyYs3F,Nina Cried Power (feat. Mavis Staples),Mavis Staples,0.29,0.889,1,-2.611,1,0.00949,0.0,0.0821,0.651,98.835,225213,4
4xAUEwVbO5BhqsH49CAOhI,Nterini,Fatoumata Diawara,0.779,0.779,0,-7.806,1,0.725,0.000415,0.293,0.722,104.029,223693,4
2OlVATK8cXm4g45ecB3Rmz,One Trick Ponies,Kurt Vile,0.68,0.852,0,-4.919,1,0.15,0.00294,0.126,0.707,94.523,321160,4
